"value","value href","value 2","value href 2","value 3","value 4","value 5","value 6","value 7","greyText","value 8","value 9","value 10","value 11","staticStar","value 12","value href 3","value 13","value href 4","value 14","greyText 4","greyText 5","value 15","value 16","date_read_value","darkGreyText","value href 5","value src"
"Games: A Love Story","https://www.goodreads.com/book/show/241097263-games","Volkova, Anna Maria","https://www.goodreads.com/author/show/38758695.Anna_Maria_Volkova","*","0063437724","9780063437722","0063437724","432","pp","3.65","4,448","Jun 30, 2026","Jun 30, 2026","liked it","0","https://www.goodreads.com/review/show/8919911971","0","https://www.goodreads.com/rating/voters/8919911971?resource_type=Review","1","not set","not set","Sep 04, 2026","Hardcover","","","",""
"The Compound","https://www.goodreads.com/book/show/218460337-the-compound","Rawle, Aisling","https://www.goodreads.com/author/show/51780718.Aisling_Rawle","","0593977270","9780593977279","0593977270","292","pp","3.52","173,800","Jun 24, 2025","Jun 24, 2025","really liked it","0","https://www.goodreads.com/review/show/8902415457","0","https://www.goodreads.com/rating/voters/8902415457?resource_type=Review","1","not set","not set","Aug 29, 2026","Hardcover","","","",""
"Culpability","https://www.goodreads.com/book/show/222259253-culpability","Holsinger, Bruce","https://www.goodreads.com/author/show/7231634.Bruce_Holsinger","*","1954118961","9781954118966","1954118961","350","pp","3.98","102,260","Jul 08, 2025","Jul 08, 2025","liked it","0","https://www.goodreads.com/review/show/8876761572","0","https://www.goodreads.com/rating/voters/8876761572?resource_type=Review","1","not set","not set","Aug 20, 2026","Hardcover","","","",""
"The Secret of Our Success: How Culture Is Driving Human Evolution, Domesticating Our Species, and Making Us Smarter","https://www.goodreads.com/book/show/25761655-the-secret-of-our-success","Henrich, Joseph","https://www.goodreads.com/author/show/526072.Joseph_Henrich","","0691166854","9780691166858","0691166854","456","pp","4.39","2,323","Oct 15, 2015","Oct 15, 2015","really liked it","0","https://www.goodreads.com/review/show/8876441494","0","https://www.goodreads.com/rating/voters/8876441494?resource_type=Review","1","not set","not set","Aug 20, 2026","Hardcover","","","",""
"No Country for Old Men","https://www.goodreads.com/book/show/23515727-no-country-for-old-men","McCarthy, Cormac","https://www.goodreads.com/author/show/4178.Cormac_McCarthy","","0375706674","9780375706677","0375706674","309","pp","4.17","269,384","Jul 19, 2005","Jul 11, 2006","it was amazing","0","https://www.goodreads.com/review/show/8871831881","0","https://www.goodreads.com/rating/voters/8871831881?resource_type=Review","1","","","Aug 18, 2026","Paperback","Aug 20, 2026","","",""
"Signal Fires","https://www.goodreads.com/book/show/59573299-signal-fires","Shapiro, Dani","https://www.goodreads.com/author/show/13932.Dani_Shapiro","*","0593534727","9780593534724","0593534727","229","pp","3.90","39,976","Oct 18, 2022","Oct 11, 2022","really liked it","0","https://www.goodreads.com/review/show/8871685236","0","https://www.goodreads.com/rating/voters/8871685236?resource_type=Review","1","not set","not set","Aug 18, 2026","Hardcover","","","",""
"Heart the Lover","https://www.goodreads.com/book/show/228110489-heart-the-lover","King, Lily","https://www.goodreads.com/author/show/117786.Lily_King","*","0802165176","9780802165176","0802165176","256","pp","4.16","485,895","Sep 30, 2025","Sep 30, 2025","it was amazing","1","https://www.goodreads.com/review/show/8620559393","1","https://www.goodreads.com/rating/voters/8620559393?resource_type=Review","1","not set","not set","May 21, 2026","Hardcover","","","",""
"When Genius Failed: The Rise and Fall of Long-Term Capital Management","https://www.goodreads.com/book/show/10669.When_Genius_Failed","Lowenstein, Roger","https://www.goodreads.com/author/show/762.Roger_Lowenstein","","0375758259","9780375758256","0375758259","264","pp","4.20","32,470","Jan 01, 2000","Oct 09, 2001","it was amazing","0","https://www.goodreads.com/review/show/8579024229","0","https://www.goodreads.com/rating/voters/8579024229?resource_type=Review","1","not set","not set","May 05, 2026","Paperback","","","",""
"Strangers: A Memoir of Marriage","https://www.goodreads.com/book/show/231108670-strangers","Burden, Belle","https://www.goodreads.com/author/show/55635041.Belle_Burden","","0593733312","9780593733318","0593733312","256","pp","4.07","337,391","Jan 13, 2026","Jan 13, 2026","liked it","1","https://www.goodreads.com/review/show/8509636412","0","https://www.goodreads.com/rating/voters/8509636412?resource_type=Review","1","not set","not set","Apr 09, 2026","Hardcover","","","",""
"Fates and Furies","https://www.goodreads.com/book/show/24612118-fates-and-furies","Groff, Lauren","https://www.goodreads.com/author/show/690619.Lauren_Groff","*","1594634475","9781594634475","1594634475","390","pp","3.59","151,481","Sep 15, 2015","Sep 15, 2015","really liked it","1","https://www.goodreads.com/review/show/8461584821","1","https://www.goodreads.com/rating/voters/8461584821?resource_type=Review","1","","","Mar 23, 2026","Hardcover","Aug 23, 2026","","",""
"Glorious Exploits","https://www.goodreads.com/book/show/127278133-glorious-exploits","Lennon, Ferdia","https://www.goodreads.com/author/show/16669648.Ferdia_Lennon","*","1250893690","9781250893697","1250893690","304","pp","4.12","29,250","Jan 18, 2024","Mar 26, 2024","really liked it","0","https://www.goodreads.com/review/show/8443819845","0","https://www.goodreads.com/rating/voters/8443819845?resource_type=Review","1","","","Mar 16, 2026","Hardcover","Mar 17, 2026","","",""
"Den of Thieves","https://www.goodreads.com/book/show/1972.Den_of_Thieves","Stewart, James B.","https://www.goodreads.com/author/show/1328.James_B_Stewart","","067179227X","9780671792275","067179227X","592","pp","4.16","15,337","Oct 15, 1991","Sep 01, 1992","really liked it","0","https://www.goodreads.com/review/show/8442455560","0","https://www.goodreads.com/rating/voters/8442455560?resource_type=Review","1","","","Mar 16, 2026","Paperback","Aug 18, 2026","","",""
